code,transcription
w6550,Drunkning och drunkningstillbud i badkar-serviceområde-idrott
w6551,"Drunkning och drunkningstillbud i badkar-serviceområde-lek,fritid"
w6552,Drunkning och drunkningstillbud i badkar-serviceområde-förvärvsarbete
w6553,Drunkning och drunkningstillbud i badkar-serviceområde-annan sysselsättning
w6554,Drunkning och drunkningstillbud i badkar-serviceområde-vitalaktivitet
w6558,Drunkning och drunkningstillbud i badkar-serviceområde-andra aktiviteter
w6559,Drunkning och drunkningstillbud i badkar-serviceområde-ospec aktiviteter
w6560,Drunkning och drunkningstillbud i badkar-industriområde-idrott
w6561,"Drunkning och drunkningstillbud i badkar-industriområde-lek,fritid"
w6562,Drunkning och drunkningstillbud i badkar-industriområde-förvärvsarbete
w6563,Drunkning och drunkningstillbud i badkar-industriområde-annan sysselsättning
w6564,Drunkning och drunkningstillbud i badkar-industriområde-vitalaktivitet
w6568,Drunkning och drunkningstillbud i badkar-industriområde-andra aktiviteter
w6569,Drunkning och drunkningstillbud i badkar-industriområde-ospec aktiviteter
w6570,Drunkning och drunkningstillbud i badkar-lantbruksområde-idrott
w6571,"Drunkning och drunkningstillbud i badkar-lantbruksområde-lek,fritid"
w6572,Drunkning och drunkningstillbud i badkar-lantbruksområde-förvärvsarbete
w6573,Drunkning och drunkningstillbud i badkar-lantbruksområde-annan sysselsättning
w6574,Drunkning och drunkningstillbud i badkar-lantbruksområde-vitalaktivitet
w6578,Drunkning och drunkningstillbud i badkar-lantbruksområde-andra aktiviteter
w6579,Drunkning och drunkningstillbud i badkar-lantbruksområde-ospec aktiviteter
w6580,Drunkning och drunkningstillbud i badkar-andra områden-idrott
w6581,"Drunkning och drunkningstillbud i badkar-andra områden-lek,fritid"
w6582,Drunkning och drunkningstillbud i badkar-andra områden-förvärvsarbete
w6583,Drunkning och drunkningstillbud i badkar-andra områden-annan sysselsättning
w6584,Drunkning och drunkningstillbud i badkar-andra områden-vitalaktivitet
w6588,Drunkning och drunkningstillbud i badkar-andra områden-andra aktiviteter
w6589,Drunkning och drunkningstillbud i badkar-andra områden-ospec aktiviteter
w6590,Drunkning och drunkningstillbud i badkar-ospec område-idrott
w6591,"Drunkning och drunkningstillbud i badkar-ospec område-lek,fritid"
w6592,Drunkning och drunkningstillbud i badkar-ospec område-förvärvsarbete
w6593,Drunkning och drunkningstillbud i badkar-ospec område-annan sysselsättning
w6594,Drunkning och drunkningstillbud i badkar-ospec område-vitalaktivitet
w6598,Drunkning och drunkningstillbud i badkar-ospec område-andra aktiviteter
w6599,Drunkning och drunkningstillbud i badkar-ospec område-ospec aktiviteter
w66,Drunkning och drunkningstillbud efter fall ned i badkar
w6600,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-idrott
w6601,"Drunkning och drunkningstillbud efter fall ned i badkar-bostad-lek,fritid"
w6602,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-förvärvsarbete
w6603,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-annan sysselsättning
w6604,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-vitalaktivitet
w6608,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-andra aktiviteter
w6609,Drunkning och drunkningstillbud efter fall ned i badkar-bostad-ospec aktiviteter
w6610,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-idrott
w6611,"Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-lek,fritid"
w6612,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-förvärvsarbete
w6613,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-annan sysselsättning
w6614,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-vitalaktivitet
w6618,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-andra aktiviteter
w6619,Drunkning och drunkningstillbud efter fall ned i badkar-institutionellt boende-ospec aktiviteter
w6620,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-idrott"
w6621,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-lek,fritid"
w6622,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-förvärvsarbete"
w6623,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-annan sysselsättning"
w6624,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-vitalaktivitet"
w6628,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-andra aktiviteter"
w6629,"Drunkning och drunkningstillbud efter fall ned i badkar-skola, offentlig lokal-ospec aktiviteter"
w6630,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-idrott
w6631,"Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-lek,fritid"
w6632,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-förvärvsarbete
w6633,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-annan sysselsättning
w6634,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-vitalaktivitet
w6638,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-andra aktiviteter
w6639,Drunkning och drunkningstillbud efter fall ned i badkar-idrottsanläggning-ospec aktiviteter
w6640,Drunkning och drunkningstillbud efter fall ned i badkar-gata-idrott
w6641,"Drunkning och drunkningstillbud efter fall ned i badkar-gata-lek,fritid"
w6642,Drunkning och drunkningstillbud efter fall ned i badkar-gata-förvärvsarbete
w6643,Drunkning och drunkningstillbud efter fall ned i badkar-gata-annan sysselsättning
w6644,Drunkning och drunkningstillbud efter fall ned i badkar-gata-vitalaktivitet
w6648,Drunkning och drunkningstillbud efter fall ned i badkar-gata-andra aktiviteter
w6649,Drunkning och drunkningstillbud efter fall ned i badkar-gata-ospec aktiviteter
w6650,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-idrott
w6651,"Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-lek,fritid"
w6652,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-förvärvsarbete
w6653,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-annan sysselsättning
w6654,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-vitalaktivitet
w6658,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-andra aktiviteter
w6659,Drunkning och drunkningstillbud efter fall ned i badkar-serviceområde-ospec aktiviteter
w6660,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-idrott
w6661,"Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-lek,fritid"
w6662,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-förvärvsarbete
w6663,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-annan sysselsättning
w6664,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-vitalaktivitet
w6668,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-andra aktiviteter
w6669,Drunkning och drunkningstillbud efter fall ned i badkar-industriområde-ospec aktiviteter
w6670,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-idrott
w6671,"Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-lek,fritid"
w6672,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-förvärvsarbete
w6673,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-annan sysselsättning
w6674,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-vitalaktivitet
w6678,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-andra aktiviteter
w6679,Drunkning och drunkningstillbud efter fall ned i badkar-lantbruksområde-ospec aktiviteter
w6680,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-idrott
w6681,"Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-lek,fritid"
w6682,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-förvärvsarbete
w6683,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-annan sysselsättning
w6684,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-vitalaktivitet
w6688,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-andra aktiviteter
w6689,Drunkning och drunkningstillbud efter fall ned i badkar-andra områden-ospec aktiviteter
w6690,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-idrott
w6691,"Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-lek,fritid"
w6692,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-förvärvsarbete
w6693,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-annan sysselsättning
w6694,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-vitalaktivitet
w6698,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-andra aktiviteter
w6699,Drunkning och drunkningstillbud efter fall ned i badkar-ospec område-ospec aktiviteter
w67,Drunkning och drunkningstillbud i simbassäng
w6700,Drunkning och drunkningstillbud i simbassäng-bostad-idrott
w6701,"Drunkning och drunkningstillbud i simbassäng-bostad-lek,fritid"
w6702,Drunkning och drunkningstillbud i simbassäng-bostad-förvärvsarbete
w6703,Drunkning och drunkningstillbud i simbassäng-bostad-annan sysselsättning
w6704,Drunkning och drunkningstillbud i simbassäng-bostad-vitalaktivitet
w6708,Drunkning och drunkningstillbud i simbassäng-bostad-andra aktiviteter
w6709,Drunkning och drunkningstillbud i simbassäng-bostad-ospec aktiviteter
w6710,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-idrott
w6711,"Drunkning och drunkningstillbud i simbassäng-institutionellt boende-lek,fritid"
w6712,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-förvärvsarbete
w6713,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-annan sysselsättning
w6714,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-vitalaktivitet
w6718,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-andra aktiviteter
w6719,Drunkning och drunkningstillbud i simbassäng-institutionellt boende-ospec aktiviteter
w6720,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-idrott"
w6721,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-lek,fritid"
w6722,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-förvärvsarbete"
w6723,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-annan sysselsättning"
w6724,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-vitalaktivitet"
w6728,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-andra aktiviteter"
w6729,"Drunkning och drunkningstillbud i simbassäng-skola, offentlig lokal-ospec aktiviteter"
w6730,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-idrott
w6731,"Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-lek,fritid"
w6732,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-förvärvsarbete
w6733,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-annan sysselsättning
w6734,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-vitalaktivitet
w6738,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-andra aktiviteter
w6739,Drunkning och drunkningstillbud i simbassäng-idrottsanläggning-ospec aktiviteter
w6740,Drunkning och drunkningstillbud i simbassäng-gata-idrott
w6741,"Drunkning och drunkningstillbud i simbassäng-gata-lek,fritid"
w6742,Drunkning och drunkningstillbud i simbassäng-gata-förvärvsarbete
w6743,Drunkning och drunkningstillbud i simbassäng-gata-annan sysselsättning
w6744,Drunkning och drunkningstillbud i simbassäng-gata-vitalaktivitet
w6748,Drunkning och drunkningstillbud i simbassäng-gata-andra aktiviteter
w6749,Drunkning och drunkningstillbud i simbassäng-gata-ospec aktiviteter
w6750,Drunkning och drunkningstillbud i simbassäng-serviceområde-idrott
w6751,"Drunkning och drunkningstillbud i simbassäng-serviceområde-lek,fritid"
w6752,Drunkning och drunkningstillbud i simbassäng-serviceområde-förvärvsarbete
w6753,Drunkning och drunkningstillbud i simbassäng-serviceområde-annan sysselsättning
w6754,Drunkning och drunkningstillbud i simbassäng-serviceområde-vitalaktivitet
w6758,Drunkning och drunkningstillbud i simbassäng-serviceområde-andra aktiviteter
w6759,Drunkning och drunkningstillbud i simbassäng-serviceområde-ospec aktiviteter
w6760,Drunkning och drunkningstillbud i simbassäng-industriområde-idrott
w6761,"Drunkning och drunkningstillbud i simbassäng-industriområde-lek,fritid"
w6762,Drunkning och drunkningstillbud i simbassäng-industriområde-förvärvsarbete
w6763,Drunkning och drunkningstillbud i simbassäng-industriområde-annan sysselsättning
w6764,Drunkning och drunkningstillbud i simbassäng-industriområde-vitalaktivitet
w6768,Drunkning och drunkningstillbud i simbassäng-industriområde-andra aktiviteter
w6769,Drunkning och drunkningstillbud i simbassäng-industriområde-ospec aktiviteter
w6770,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-idrott
w6771,"Drunkning och drunkningstillbud i simbassäng-lantbruksområde-lek,fritid"
w6772,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-förvärvsarbete
w6773,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-annan sysselsättning
w6774,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-vitalaktivitet
w6778,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-andra aktiviteter
w6779,Drunkning och drunkningstillbud i simbassäng-lantbruksområde-ospec aktiviteter
w6780,Drunkning och drunkningstillbud i simbassäng-andra områden-idrott
w6781,"Drunkning och drunkningstillbud i simbassäng-andra områden-lek,fritid"
w6782,Drunkning och drunkningstillbud i simbassäng-andra områden-förvärvsarbete
w6783,Drunkning och drunkningstillbud i simbassäng-andra områden-annan sysselsättning
w6784,Drunkning och drunkningstillbud i simbassäng-andra områden-vitalaktivitet
w6788,Drunkning och drunkningstillbud i simbassäng-andra områden-andra aktiviteter
w6789,Drunkning och drunkningstillbud i simbassäng-andra områden-ospec aktiviteter
w6790,Drunkning och drunkningstillbud i simbassäng-ospec område-idrott
w6791,"Drunkning och drunkningstillbud i simbassäng-ospec område-lek,fritid"
w6792,Drunkning och drunkningstillbud i simbassäng-ospec område-förvärvsarbete
w6793,Drunkning och drunkningstillbud i simbassäng-ospec område-annan sysselsättning
w6794,Drunkning och drunkningstillbud i simbassäng-ospec område-vitalaktivitet
w6798,Drunkning och drunkningstillbud i simbassäng-ospec område-andra aktiviteter
w6799,Drunkning och drunkningstillbud i simbassäng-ospec område-ospec aktiviteter
w68,Drunkning och drunkningstillbud efter fall ned i simbassäng
w6800,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-idrott
w6801,"Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-lek,fritid"
w6802,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-förvärvsarbete
w6803,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-annan sysselsättning
w6804,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-vitalaktivitet
w6808,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-andra aktiviteter
w6809,Drunkning och drunkningstillbud efter fall ned i simbassäng-bostad-ospec aktiviteter
w6810,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-idrott
w6811,"Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-lek,fritid"
w6812,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-förvärvsarbete
w6813,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-annan sysselsättning
w6814,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-vitalaktivitet
w6818,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-andra aktiviteter
w6819,Drunkning och drunkningstillbud efter fall ned i simbassäng-institutionellt boende-ospec aktiviteter
w6820,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-idrott"
w6821,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-lek,fritid"
w6822,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-förvärvsarbete"
w6823,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-annan sysselsättning"
w6824,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-vitalaktivitet"
w6828,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-andra aktiviteter"
w6829,"Drunkning och drunkningstillbud efter fall ned i simbassäng-skola, offentlig lokal-ospec aktiviteter"
w6830,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-idrott
w6831,"Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-lek,fritid"
w6832,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-förvärvsarbete
w6833,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-annan sysselsättning
w6834,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-vitalaktivitet
w6838,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-andra aktiviteter
w6839,Drunkning och drunkningstillbud efter fall ned i simbassäng-idrottsanläggning-ospec aktiviteter
w6840,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-idrott
w6841,"Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-lek,fritid"
w6842,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-förvärvsarbete
w6843,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-annan sysselsättning
w6844,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-vitalaktivitet
w6848,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-andra aktiviteter
w6849,Drunkning och drunkningstillbud efter fall ned i simbassäng-gata-ospec aktiviteter
w6850,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-idrott
w6851,"Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-lek,fritid"
w6852,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-förvärvsarbete
w6853,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-annan sysselsättning
w6854,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-vitalaktivitet
w6858,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-andra aktiviteter
w6859,Drunkning och drunkningstillbud efter fall ned i simbassäng-serviceområde-ospec aktiviteter
w6860,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-idrott
w6861,"Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-lek,fritid"
w6862,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-förvärvsarbete
w6863,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-annan sysselsättning
w6864,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-vitalaktivitet
w6868,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-andra aktiviteter
w6869,Drunkning och drunkningstillbud efter fall ned i simbassäng-industriområde-ospec aktiviteter
w6870,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-idrott
w6871,"Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-lek,fritid"
w6872,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-förvärvsarbete
w6873,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-annan sysselsättning
w6874,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-vitalaktivitet
w6878,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-andra aktiviteter
w6879,Drunkning och drunkningstillbud efter fall ned i simbassäng-lantbruksområde-ospec aktiviteter
w6880,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-idrott
w6881,"Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-lek,fritid"
w6882,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-förvärvsarbete
w6883,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-annan sysselsättning
w6884,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-vitalaktivitet
w6888,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-andra aktiviteter
w6889,Drunkning och drunkningstillbud efter fall ned i simbassäng-andra områden-ospec aktiviteter
w6890,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-idrott
w6891,"Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-lek,fritid"
w6892,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-förvärvsarbete
w6893,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-annan sysselsättning
w6894,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-vitalaktivitet
w6898,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-andra aktiviteter
w6899,Drunkning och drunkningstillbud efter fall ned i simbassäng-ospec område-ospec aktiviteter
w69,"Drunkning och drunkningstillbud i hav, sjö och vattendrag"
w6900,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-idrott"
w6901,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-lek,fritid"
w6902,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-förvärvsarbete"
w6903,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-annan sysselsättning"
w6904,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-vitalaktivitet"
w6908,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-andra aktiviteter"
w6909,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-bostad-ospec aktiviteter"
w6910,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-idrott"
w6911,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-lek,fritid"
w6912,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-förvärvsarbete"
w6913,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-annan sysselsättning"
w6914,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-vitalaktivitet"
w6918,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-andra aktiviteter"
w6919,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-institutionellt boende-ospec aktiviteter"
w6920,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-idrott"
w6921,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-lek,fritid"
w6922,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-förvärvsarbete"
w6923,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-annan sysselsättning"
w6924,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-vitalaktivitet"
w6928,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-andra aktiviteter"
w6929,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-skola, offentlig lokal-ospec aktiviteter"
w6930,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-idrott"
w6931,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-lek,fritid"
w6932,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-förvärvsarbete"
w6933,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-annan sysselsättning"
w6934,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-vitalaktivitet"
w6938,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-andra aktiviteter"
w6939,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-idrottsanläggning-ospec aktiviteter"
w6940,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-idrott"
w6941,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-lek,fritid"
w6942,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-förvärvsarbete"
w6943,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-annan sysselsättning"
w6944,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-vitalaktivitet"
w6948,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-andra aktiviteter"
w6949,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-gata-ospec aktiviteter"
w6950,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-idrott"
w6951,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-lek,fritid"
w6952,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-förvärvsarbete"
w6953,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-annan sysselsättning"
w6954,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-vitalaktivitet"
w6958,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-andra aktiviteter"
w6959,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-serviceområde-ospec aktiviteter"
w6960,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-idrott"
w6961,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-lek,fritid"
w6962,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-förvärvsarbete"
w6963,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-annan sysselsättning"
w6964,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-vitalaktivitet"
w6968,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-andra aktiviteter"
w6969,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-industriområde-ospec aktiviteter"
w6970,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-idrott"
w6971,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-lek,fritid"
w6972,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-förvärvsarbete"
w6973,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-annan sysselsättning"
w6974,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-vitalaktivitet"
w6978,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-andra aktiviteter"
w6979,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-lantbruksområde-ospec aktiviteter"
w6980,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-idrott"
w6981,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-lek,fritid"
w6982,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-förvärvsarbete"
w6983,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-annan sysselsättning"
w6984,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-vitalaktivitet"
w6988,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-andra aktiviteter"
w6989,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-andra områden-ospec aktiviteter"
w6990,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-idrott"
w6991,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-lek,fritid"
w6992,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-förvärvsarbete"
w6993,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-annan sysselsättning"
w6994,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-vitalaktivitet"
w6998,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-andra aktiviteter"
w6999,"Drunkning och drunkningstillbud i hav, sjö och vattendrag-ospec område-ospec aktiviteter"
w70,"Drunkning och drunkningstillbud efter fall i hav, sjö och vattendrag"
